title,gender
ábade,m
agricultor,m
agrimensor,m
agente,m
alfaiate,m
almirante,m
apóstolo,m
arcebispo,m
arcanjo,m
arquiteto,m
arquiteta,f
aspirante,m
aviador,m
aviadora,f
bandeirante,m
bispo,m
brigadeiro,m
cabo,m
cadete,m
campeão,m
capitão,m
cardeal,m
cavaleiro,m
cavalheiro,m
conde,m
condessa,f
coronel,m
comediante,n
comendador,m
comissário,m
compadre,m
comandante,m
cônsul,m
delegado,m
dentista,n
deputado,m
deputada,f
desembargador,m
diácono,m
dom,m
dona,f
doutor,m
doutora,f
duque,m
duquesa,f
educador,m
educadora,f
embaixador,m
embaixadora,f
embaixatriz,f
engenheiro,m
engenheira,f
escoteiro,m
escritor,m
frei,m
general,m
governador,m
governadora,f
imaculada,f
imperador,m
inspetor,m
irmã,f
irmão,m
irmãs,f
jornalista,n
excelência,n
lorde,m
lord,m
madre,f
maestro,m
major,m
majestade,n
marechal,m
maquinista,n
marquês,m
marquesa,f
meritíssimo,m
mestre,n
militar,m
ministro,m
nossa,f
monge,m
monsenhor,m
músico,m
nossa senhora,f
ouvidor,m
pai,m
papa,m
pastor,m
poeta,m
prefeito,m
presidente,m
príncipe,m
professor,m
professora,f
promotor,m
promotora,f
primeiro,m
tenente,m
rabino,m
rainha,f
regente,n
reitor,m
reitora,f
reverendo,m
senhor,m
senhora,f
sargento,m
subtenente,m
sub-tenente,m
sir,m
soldado,m
santo,m
santa,f
vereador,m
vereadora,f
vigário,m
visconde,m
viscondessa,f
barão,m
baronete,m
escudeiro,m
infante,m
arquiduque,m
grão-duque,m
grão,m
rei,m
conde-barão,m
imperial,n
senador,m
senadora,f
